name,type,category,color,price,description,year,region,abv,image,quantity,pricedate
Bowmore 1966 Sa,Whiskey,Islay Pure Malt,,38922.62,"Honey, toffee, exotic, tropical fruits, chocolate, greenhouse and hay-like",1966,Scotland,43,https://static.whiskybase.com/storage/whiskies/8/8/54/62013-big.jpg,1,"38774.68,38960.68,38922.62"
Cabernet Sauvignon,Wine,,Red,152.72,"It starts with an up-front core of blackberry and dark cherry aromas, followed by suggestions of blueberry, raspberry, cranberry and dried plum. Undertones are of chocolate, almond and exotic spice. Ends with an unmistakable black pepper sensation.",2010,Australia,14,https://winefolly-wpengine.netdna-ssl.com/wp-content/uploads/Cabernet-Sauvignon-Wine-Bottle-WineFolly.jpg,1,"151.93,152.1,152.72"
A Mano Bianco,Wine,,White,-701.92,This appellation is very special. Its outstanding reds were what first put,2017,Italy,12,https://img.thewhiskyexchange.com/900/wine_man2017.jpg,1,"-699.23,-700.12,-701.92"
French Bergamais,Wine,,Red,164.32,"A refreshing, lighter red wine with full fruit flavours of cherries and berries. Gamay is the featured grape style. Enjoy young and slightly chilled.",2008,French,13,,1,"163.06,163.77,164.32"
ALTOS LAS HORMIGAS,Wine,,Red,3.4,"Altos Las Hormigas Malbec Terroir is made from grapes grown in the Uco Valley. This has notes of cherry, plum, fig and violet. This will be an excellent match for beef.",2016,Argentina,135,https://img.thewhiskyexchange.com/900/wine_alt2016.jpg,1,"3.43,3.42,3.4"
Veneto Pinot Grigio,Wine,,White,272.58,A crisp lively wine with a floral bouquet and flavours of ripe tropical fruit and gentle spice. Broiled or grilled seafood and shellfish pair well with this wonderfully balanced dry wine.,2008,Italy,12,https://sanjamon.com/media/catalog/product/cache/1/image/1704x1704/9df78eab33525d08d6e5fb8d27136e95/p/i/pinot2.jpg,1,"273.67,272.83,272.58"
Vieux Chateau Du Roi,Wine,,Red,182.73,"A robust, yet smooth wine with a bouquet of ripe berries and flavours of plum. This wine will age well",2008,French,12,http://winexpert.com/wp-content/uploads/content/591/vieuxchateauduroi-sm.jpg,1,"182.87,183.39,182.73"
JOHNNIE WALKER,Whiskey,Scotch,,12,,2016,Canada,400,https://img.thewhiskyexchange.com/900/blend_joh83.jpg,1,"11.99,12.02,12"
Blanton's,Whiskey,Bourbon,,18.46,"A deep, satisfying nose of nutmeg and spices. Powerful dry vanilla notes in harmony with hints of honey amid strong caramel and corn. A medium finish composed of returning corn and nutmeg flavors.",2016,US,450,https://products1.imgix.drizly.com/ci-blantons-single-barrel-bourbon-f27c3cae7eeaa8b9.png?auto=format%2Ccompress&fm=jpeg&q=20,1,"18.54,18.55,18.46"
Château Ausone 2015 Saint-Émilion,Wine,,Red,938.89,"great fruit of the vintage, acidity and tanic structure, with perfumes",2013,France,14,https://bordeaux-rive-droite.com/wp-content/uploads/2017/03/ausone-2000.jpg,1,"942.11,940.86,938.89"
